"Link","Type","Author","Date","Content","Id","Hashtag","Category"
"https://www.facebook.com/blockchain/posts/pfbid0365ne9esfsVrBnrWEkq3cN4NrmUoqznRHcrHTnMNiyBMkggE1B7Q5Gc4eL8cF6Xjrl?__cft__[0]=AZWOHl8iveM34JIexF86rxjfrSDN9o4z5lw3gBxHFhEg0cGzzWE_0tnvP2wUA9CuMKJrsCIUZXZrP4x37w9TsSfyANIMTwY5CDXtlveKwungTbMGNY7ttSlFJEi_rLfAd6mz5Is0NxRhxHe1Cz46fEHr8g2Kq7Oqny4tDAtMNXzRwufOjv2h_6Vucmp4YrHA_OQr2U9rMpuLq26Kf0zJ6a2O&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","17-05-2024","Your weekly crypto news round-up is here 
 Bitcoin Breaks Barriers: Surpassing $66,000 
Bitcoin stole the show this week, breaching the $66,000 mark. This surge comes amidst news on the US inflation front, with figures showing a slowdown compared to previous months. 
… See more","pfbid0365ne9esfsVrBnrWEkq3cN4NrmUoqznRHcrHTnMNiyBMkggE1B7Q5Gc4eL8cF6Xjrl","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/binance/posts/pfbid02T6TruDDo8x1ATbcg6YxkUrP13Z7CUtLoWyuQTFzw8cjiaqmzSp67KWeQxPwrx9n6l?__cft__[0]=AZWuEDqnGvQRRJg0jKI4717idgh_MVYcyXncB596wIxT0ohf0-Fd67HKMxmJWWxApBojktu3C1exJKXPkkeQ6ZMMptA771xhyzFpxNVDqZPRwFoGgROXMkXKR_JD-s9F7d4fBUXpIbR3-REUWAjGNMoa7ECu4Ia_59H_Keed91fA3G3bPfHALtJbT1T31LsM7Bods1-uT1MK-dpq7sofe3Qr&__tn__=%2CO%2CP-R","Facebook post","Binance","18-05-2024","What is data availability?
Well, it's data that's available.
But nah fr, it refers to the ability of users to access and verify the data stored on the blockchain.","pfbid02T6TruDDo8x1ATbcg6YxkUrP13Z7CUtLoWyuQTFzw8cjiaqmzSp67KWeQxPwrx9n6l","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/blockchain/posts/pfbid02i5n1TgYvoJrg72VyFGUdbLDXW8L2a899krjQQNMS1Xm16j19jnfk17e2uWVFdAqdl?__cft__[0]=AZUt-u__LLzRy2AtGG0KfW8lBi1DUK5D1OuiaiMlf39KvX-v-xlNIS5zIZlXs1y_b_8ItDqWQavDPvyGiQVMj1LeTYVv1nxTGlgzfxQf2YrPrdWoUbM6kr3hhI4lH3g_Z1xbuWyhGMvnQ3ETTByQ5pH_9BtIYMS--Pjw49JsEBqDDtza8rCy7gxfH_f5A1P2Vs1o1HHCPZ_OkngLWz8-Hmu8&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","16-05-2024","It's been a big 24 hours for $SOL 
What's your move?
 blockchain.com/explorer/assets/sol","pfbid02i5n1TgYvoJrg72VyFGUdbLDXW8L2a899krjQQNMS1Xm16j19jnfk17e2uWVFdAqdl","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/HeadlinerHub/posts/pfbid0KaiWynjCNkZJ2JUZk74ySxbyhvEeBktFVJeoDSTAtya4RX25sjPonK6g612N83hbl?__cft__[0]=AZUd3Khi4O_VGDNq_vWSJk3ju-cfgN13FYq-yJlSxa5Zw3iDbo6vX49Q1WHRoGejLHP8hI3vy40JZOV7aPCM55D3REU7S4fExDA_zIWfas6EDuek-lVoeovqydUsBuLoF6PXB8V80ifBhDWK0Dm4Yp9KKjJoIl8rdxygsrInV23Iix6NHPz3fbIHNx1AK9MOY915JZ8NhDJ-xdiATlifs8IB&__tn__=%2CO%2CP-R","Facebook post","Headliner","13-05-2024","""I wasn’t going to quit music, per se, but I was going to get a job. I was looking at the numbers, and the math was not mathin’!"" Rae Isla on how she made more money building a web3 community than a job would have paid her in a year.
#blockchain #web3 #qsc QSC #headlinermagazine","pfbid0KaiWynjCNkZJ2JUZk74ySxbyhvEeBktFVJeoDSTAtya4RX25sjPonK6g612N83hbl","#blockchain, #web3, #qsc, #headlinermagazine","personal-post, contains-image, contains-hashtag"
"https://www.facebook.com/blockchain/posts/pfbid02RnZbrMgRvRmjDiqF8PR9CFZPw2KJKiZ9s1yTjawXSRdjdez7wMAXpKoCEGa5imxNl?__cft__[0]=AZVmv4fX0ThhwS_tJkpANR_EmNAfAfNrENbT1-sqRgT5oUgn1NHSSwZzn1uqWTf87ApsBTRMKwIaeawYkfLHsMmW8loeNKoPEHKkZ7A9JYDT11AVkicbwmjJQ1OU5OKWJmCyc-nRT1U7s_-jEMIQXNEAYRskz8c_1SBKM9GzfuNv9q5NlctvPe6-ZZSTjTskBfxAX31abux7E16OBMfZyTt1&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","06-05-2024","2FA is the way 
Enabling 2FA acts as a powerful deterrent against online attacks, safeguarding your wallet.
Learn more 
 https://ow.ly/BhKC50RvVbP","pfbid02RnZbrMgRvRmjDiqF8PR9CFZPw2KJKiZ9s1yTjawXSRdjdez7wMAXpKoCEGa5imxNl","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/blockchain/posts/pfbid05cpDY3FfRnzrhd6qXz8eqUa9cHAshrsfmwXd6qp5HCJE27exzsy1bUuaXC88e2gol?__cft__[0]=AZUMGPLNTsm0bbFwRACmOgHItKfsk3-p2OO5478DyD2ltaExN_hRJOI4CvHP4zy8u0oPB0Rqv0vceYjMYALxBOltrCMwPdIYUkhWx412VbP5wMAikwJ9tNAeLkbo5oO1YCi6twCczlmcq9F9lgKuUd75E-OToq0P82VZBkiEpuaya8UzJkuh6_fl0PSyeZB7TTPggBbiylLm3XBxCJXk-IGG&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","16-05-2024","BTC +4.6% in the past 24 hours 
blockchain.com/login","pfbid05cpDY3FfRnzrhd6qXz8eqUa9cHAshrsfmwXd6qp5HCJE27exzsy1bUuaXC88e2gol","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/blockchain/posts/pfbid02s8e7DhonYet8UhJyNzAmBXZtoAnKgyqBgGX5uzu6X6c3Sn2265BU2DZpc9ynHtJpl?__cft__[0]=AZVP9W1DQL8qUZPnKlqhCitb52GmGdNM8loTF0avR_UDJXbr8I_c66B_0C9tgi4I89_4RKyKFGegxfyfSWD-nzBe9xBzty-skFhhaFgX0iJ7vQC7ZoUiZkx5Xs7lQshec016HxJSP_u63t63_u3e8Iud7XV14WOLL1D8v07sgfcuV7oEEvSzwcUub-au9c6gmmPn2JIRGDxB5_0TqnkQAobh&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","03-05-2024","ICYMI: Solana Network is now available on your Blockchain.com DeFi Wallet 
Solana Network is a high-performance blockchain designed to support high-traffic decentralized applications and crypto projects. It uses innovative technologies for fast and secure transactions, with low fees and a native SOL token for governance and staking.
Solana's expanding ecosystem offers potential for diverse applications, making it a notable option in the blockchain space.… See more","pfbid02s8e7DhonYet8UhJyNzAmBXZtoAnKgyqBgGX5uzu6X6c3Sn2265BU2DZpc9ynHtJpl","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/srpcoin/posts/pfbid0YA2zrk3efwtbiPvXEMKb9acyXAx5MukvM5VwJdj7QkjkAMNEmVh3um5K8FAuErKl?__cft__[0]=AZVDqC4qWw04euJrBA0xmlcNaMZ-spJjYqCfpWPoGMYQOELRmsff15jHbNyb7y-atijE3Y1LajZd0ogpB5EhtiE1BENPdrdGO0WQa4ooBdP_RAdtzRQVb7eZdKt9Tmi5g-rmDH0x9QffxKcyrhrXjLHj-t0PjJVthpYaL2JO6P_5aAdm8e1_1Pp5F6F3F91kv2c5a6J2zqnc1q215LeWNvjH&__tn__=%2CO%2CP-R","Facebook post","SRP Coin","17-05-2024","""SRP Coin vs Traditional Banking: Decentralized Empowerment vs Centralized Control. Embrace the Future of Finance with SRP. #SRPCoin #Blockchain #Decentralization #Depin #srptoken ","pfbid0YA2zrk3efwtbiPvXEMKb9acyXAx5MukvM5VwJdj7QkjkAMNEmVh3um5K8FAuErKl","#SRPCoin, #Blockchain, #Decentralization, #Depin, #srptoken","personal-post, contains-image, contains-hashtag"
"https://www.facebook.com/blockchain/posts/pfbid0AN2LmXYd5SNeXYhuWjW1itLw6dXJxjb9FkMKA9zxCGXjK9HsjDDVexTHdAB4VsQ9l?__cft__[0]=AZVd76RXLR9kotYLpDXPQoTPllziFeAHkzr859N7l9LMBQTdrBt0yFF7wzjzW87--0SLdS1v0w2oxoip89ms3RGBtJdDwS-BL5hiOqpqeBpsaFMqDHjbxFc2SBCJM3ldN0kbBk5zFuFAvn9fT10h8qJLEJphPwzwsnGnwvvpKpU6DGh8MdTHIdpmBhTmgoTHssCPgsy_zXgjgy6JrYZLs3l8&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","15-05-2024","Timing the crypto market is tough, and often time consuming. That’s why we offer Recurring Buys on mobile and web 
By setting up a Recurring Buy and utilizing a Dollar Cost Averaging strategy, you can spread your investment into equal amounts over regular intervals instead of trying to decide on the “perfect” time to buy.
Learn more and set up 
 https://ow.ly/yFnR50RFSus","pfbid0AN2LmXYd5SNeXYhuWjW1itLw6dXJxjb9FkMKA9zxCGXjK9HsjDDVexTHdAB4VsQ9l","","personal-post, contains-image, not-contain-hashtag"
"https://www.facebook.com/blockchain/posts/pfbid0xVzw4jTQksTuHjWFE5LR7gKGWG9Gk1G7JmdpTeGrZ3mxQxW9k5vgxtjSN3r1eBKwl?__cft__[0]=AZVQbfCIQxoSHHsTiDiTnxughfxnnyog0L_lmvWaF89_B4duJKZpy9poiaWekr_jw8i8hSKCvpgN3XEneBGpgSjZYwYAniE6bIMlOjcU9PP1erH7iX7PdGRo5uvh9ehQNLoDrjlYyiSWvNhVTjgLNXqP8J4aWdw6Lym9551-og6vN5fPwlA8dVydyWXB8vLLcG2Jzr9f4qwTHmo0Pz2xbTIc&__tn__=%2CO%2CP-R","Facebook post","Blockchain.com","08-05-2024","US Fam 
The Blockchain.com Decentralized Exchange (DEX) Aggregator is now live in your DeFi Wallet! 
With the DEX Aggregator, you can swap thousands of tokens on the Ethereum, Polygon, BSC, Arbitrum, and Optimism blockchains without ever giving up control of your crypto.… See more","pfbid0xVzw4jTQksTuHjWFE5LR7gKGWG9Gk1G7JmdpTeGrZ3mxQxW9k5vgxtjSN3r1eBKwl","","personal-post, contains-image, not-contain-hashtag"
